commentaires;notes
Superb;9.0
Very good overall visit at reasonable value;9.0
beautiful hotel in a great location;10
it was a brief stay but the hotel was very clean and comforting;9.0
Wonderful experience;10
This hotel is a hidden gem ideally located in the heart of a bustling London City.;10
Superb;9.0
very relaxing;9.0
comfortable, stylish and delicious!;10
Superb;9.0
everything we would wish it would be;8.0
Very good;8.0
A very enjoyable experience in a well maintained hotel located in a nice part of London.;9.0
Very good;8.0
Very good;8.0
Fab stay at the Apex Temple Court Hotel;9.0
Very comfortable and good service.;8.0
This is the most underrated hotel in all of London- stay here if you have a brain!!!;10
great hotel, great staff - need to invest in consistent IT - TV worked in the evening but it in the morning;8.0
excellent , highly recommed and will be going back;10
I’ll be back!;8.0
Excellent , can't wait to visit again;10
very enjoyable would definitely return;10
Great stay - Love Apex;9.0
AA;10
HIGHLY RECOMMEND!!;10
we had a fantastic weekend and enjoyed our stay here;10
indulgent;10
Perfect from start to finish.;10
Superb;9.0
pleasant;9.0
Superb;9.0
Ist Class Hotel;10
lovely stay;9.0
Overall brilliant;8.0
Exceptional;10
Very good;9.0
A great stay;9.0
Great night away! New fave hotel in London.;10
Nothing was too much trouble;10
very nice place;10
I booked a 2 night stay at the hotel. Right away the staff was welcoming and accommodating. The decor is simple yet effi;10
enjoyable;8.0
Spoilt by late night party next room to us had to go to reception at 3 am to get it stopped;9.0
lovely and helpful staff. clean, nice rooms, great facilities and value for money on the rooms and breakfast;9.0
Luxurious, classy and fabulous.;10
Great hotel;10
Very good;8.0
Super. Would definitely return;10
Brilliant central hotel, clean, comfortable room, friendly staff,with gluten free breakfast options;10
great value for something a bit special.;9.0
Lovely spacious room;8.0
Superb;9.0
A lovely weekend getaway, fantastic staff and a very comfy bed;9.0
Exceptional;10
Very impressed;10
Lovely hotel, will stay again!;9.0
lovely area, friendly helpful staff, beautiful hotel.;10
Very good;8.0
Fantastic stay in London and I would stay here again;9.0
Beautiful , comfy , cosy;10
amazing;10
Hidden gem;10
Exceptional;10
Really nice hotel, great location.;8.0
great night sleep In a great location;9.0
Amazing jewel with the best location;10
Very good;8.0
Exceptional Hotel;10
Excellent break at an excellent hotel.;9.0
Exceptional;10
joy;10
There is nothing about this hotel I dislike.;9.0
Wonderful stay, really sad we didn't have much time there and will definitely return!;9.0
Liked the hotel and location;8.0
Had the best time !!!;8.0
Exceptional;10
enjoyable;9.0
Exceptional;10
excellent service! very accommodating! no complaints!;10
Exceptional;10
Fantastic stay in an excellent hotel. Already booked again for April 22;10
perfect!;9.0
very pleasant;10
lovely hotel will stay again;10
Very enjoyable visit with helpful and welcoming staff.;8.0
Exceptional;10
The best hotel I have ever stayed at.;10
excellent;10
beautiful hotel with exceptional staff and facilities.;10
good location and nice hotel with good staff;8.0
perfect;10
Exceptional;10
it was lovely.;8.0
Exceptional;10
THIS IS OUR 3RD VISIT AND WE WOULD CERTAINLY STAY AGAIN;9.0
Lovely hotel that made us feel very welcome.;10
Superb;9.0
Superb;9.0
excellent place to stay;10
Relaxing and comfortable;10
lovely hotel would stay again;10
Amazing break and hotel was lovely;10
great city stay!;10
Lovely Hotel in a great location;9.0
Apex temple bar;9.6
Exceptional;10
Value for money, outstanding hotel;10
Good.;8.0
Superb;9.0
Great stay would defo return;10
Excellent hotel with very friendly staff ideally situated for theatre land and Covent Garden.;10
Well located and comfortable;8.0
nice hotel but a bit to pricey for a weekend break;8.0
what an amazing place holesyly just amazing;10
Amazing stay!;10
Excellent location and facilities. Perfect as a base for exploring the sights.;8.0
Fabulous hotel;10
Weekend break;10
Enjoyable stay in a lovely hotel;9.0
Clean and modern hotel in central London. Friendly and accommodating staff.;9.0
Great proximity to Leicester Square;10
Exceptional;10
just what we needed;8.0
Exceptional;10
Excellent hotel and great value for money.;9.0
decent hotel we will be back;8.0
Brilkant;9.0
Great hotel - Quiet location but close to main sites;10
Exceptional;10
Nice hotel;8.0
Superb;9.0
would definitely come back;10
Stay at Apex Temple;9.0
Lovely hotel;10
Good;9.0
Nicely placed;8.0
Very good;8.0
Quality central hotel nicely away from the tourist hourdes;8.0
Superb;9.0
A lot bit of heaven on earth;10
Very good;8.0
Perfect;9.0
perfect location for sightseeing;10
lovely Leisure stay for theatre visit;9.0
Great location, comfortable and relaxing hotel.;9.0
Superb;9.0
Perfect night away comfort just like home.;10
Outstanding.  Loved it.;10
Had a great stay and would definitely stay again.;9.0
Fantastic location for the west end.;9.0
Excellent;10
Would stay again;9.0
Perfect room and perfect location.;9.0
Superb;9.0
Exceptional;10
Excellent trip;9.0
Great hotel and warm and friendly staff;8.0
Exceptional;10
Excellent location and good value.;9.0
Fabulous stay;9.0
Exceptional;10
Lovely hotel great location and very quiet;9.0
Perfect hotel for that special event;10
An enjoyable stay, but could have been better considering the price.;8.0
Expensive, but very good;8.0
Excellent hotel;10
Really like this hotel, breakfasts great and fantastic location!;9.0
Great thanks definitely recommend this hotel;10
Superb;9.0
Couldn’t fault;10
Exceptional;10
Amazing location, amazing staff, good rooms with good facilities. Nice communal areas. Fair value.;10
Very good;8.0
A splendid getaway in the heart of the city I love;9.0
Very good;8.0
Superb;9.0
Exceptional;10
Apex Weekend;8.0
Very good;8.0
Stay was wonderful;8.0
great;10
Very good;8.0
Exceptional;10
Excellent;10
Exceptional;10
excellent stay;8.0
Superb;9.0
Lovely hotel would come back again;10
Great location for Covent Garden.;10
Great location;9.0
Excelllent stay, would recommend to anyone and will stay again.;10
Very satisfied with the hotel facilities and the staff were courteous and helpful.;9.0
Very enjoyable and affordable;8.0
Pleasant stay, close to city, and friendly staff that kept our room clean.;10
Fantastic city hotel;9.0
Gorgeous hotel;9.0
love this hotel;10
loved it;10
Very good;8.0
An impressive hotel with an excellent room;8.0
Exceptional;10
fabulous Fleet Street hotel;10
Very good;8.0
Enjoyable!;8.0
Great location, lovely private outdoors areas, friendly staff (ordered us pizza at 1am) comfy beds ??;9.0
Great Hotel.;10
Above expectations;10
Exceptional;10
Normality;9.0
Exceptional;10
in a summary it is a great hotel and the junior suit was awesome;9.0
A very happy time.;10
Great hotel with ample space;9.0
Great clean room, excellent location, friendly and helpful staff.;9.0
Very good;8.0
Great hotel, amenities and location was fantastic;10
August 2021 Stay.;9.0
Superb;9.0
Superb;9.0
Exceptional;10
Highly recommend;10
Rubber Ducky!;8.0
Superb;9.0
An excellent hotel for couples. Rooms large and v comfortable for the price .;9.0
Really lovely hotel in a great location.;9.0
Standards lower than usual;8.0
Amazing stay;10
Exceptional;10
Outstanding;10
Amazing hotel! Would definitely visit;10
Great room, perfect location, lovely staff...all added to our wonderful stay in London, thank you ??;10
Great location;9.0
Very good;8.0
Use it again;8.0
Fantastic weekend;9.0
Very good;8.0
Mother and Daughter weekend break.;10
excellent location for the city.;8.0
Exceptional;10
Perfect stay;10
Exceptional;10
Exceptional;10
Very good;8.0
Fantastic!!!;10
Very accommodating and gave me the room I requested;9.0
Exceptional;10
enjoyable hassle free and very clean i would defiantly  stay here again;10
Very clean and friendly staff;8.0
Hotel was very good except for breakfast staff were very attentive;9.0
A lovely hotel;10
Loved it!;8.0
Pleasant stay;9.0
if you can get a deal, well worth a visit, a little oasis of calm off of Fleet St;9.0
Our stay was very relaxing and central to everywhere we wanted to go;10
Exceptional;10
Beautiful hotel, very quiet and peaceful, rooms spotless and staff very helpful;10
Superb;9.0
The perfect stay;10
Amazing!!!!;10
Perfectly placed central London hotel but very quiet and relaxing.;9.0
Booked it for our minimoon and was perfect;10
Lovely hotel;9.0
Good but could easily have been better.;8.0
Superb;9.0
Superb;9.0
Great break at Apex Court;10
London weekend;8.0
Comfortable room and a good working environment;9.0
Very good;8.0
Luxurious room with fabulous bathroom - staff could be friendlier;8.0
Great room - clean and spacious. Helpful and friendly staff. Good location for what we required.;9.0
Excellent quality all round without a huge price tag;10
Lovely weekend stay in London;8.0
Exceptional;10
Superb;9.0
Central hotel, great stay.;8.0
Superb;9.0
Perfect stay;8.0
Superb;9.0
Very good;8.0
24 hours of bliss;10
This is the third time we have stayed at this hotel and we will be back.;10
Great location for Covent garden;9.0
Exceptional;10
Exceptional;10
Very disappointing as I was so looking forward to double bath and after a wet night in London didnot;8.0
Superb;9.0
Excellent;9.0
Exceptional;10
Anniversary Hotel Room;9.0
All round quality and prime London location;10
Very good;8.0
The perfect HW for our weekend;10
Excellent staff;10
Exceptional;10
Great location , friendly staff . This was our 2nd stay . We will be booking again .;10
It was too short;10
Exceptional.;10
All fantastic;9.0
Highly recommended but worth upgrading;9.0
Lovely hotel that is quietly tucked away;9.0
Great hotel;10
Thanks had a lovely break;10
Great stay;10
Superb;9.0
Exceptional;10
We really like this hotel and look forward to returning when we're next in London.;9.0
Fantastic location within walking distance of Covent Garden. Hotel facilities great . Breakfast lots of choice and was d;9.0
Great staff and location.;9.0
Lovely experience, helpful, attentive staff, clean, good location with super room.;9.0
Very good;8.0
Very good;8.0
Staff resolved an issue with the room.;9.0
Perfect;10
Exceptional;10
Great trip! Great hotel! FANTASTIC staff!;10
Great Stay;10
A wonderful hotel;10
Great location lovely hotel;8.0
Superb;9.0
Staff;10
Location, location;10
All the staff were so friendly throughout our stay and very nice to receive a room upgrade;10
Perfect place for short break in London;9.0
A perfect way to stay in London.;9.0
Brilliant, and very helpful;10
it was perfect location for business I was conducting in that specific area of the city;9.0
Excellent and value was astounding;9.0
A wonderful pandemic delayed birthday stay.;9.0
Brilliant hotel;8.0
Comfortable bolt hole in central location.;10
Exceptional;10
Superb;9.0
Fantastic hotel;10
Looked after well;10
Exceptional;10
Very good;8.0
Amazing! Wonderful staff, would highly recommend;10
Exceptional;10
Exceptional;10
Very good ,definitely recommend;9.0
Exceptional;10
Wonderful hotel;10
Always a brilliant place to stay;10
Exceptional;10
Great stay;10
Lovely hotel in great location;10
Exceptional;10
Superb;9.0
Superb;9.0
Great location;9.0
London Trip;10
Birthday treat;10
Exceptional;10
Perfect;10
Wonderful stay and would definitely return;10
A brilliant little find off Fleet Street and walking distance to most sites.;8.0
Very good;8.0
Superb;9.0
Superb;9.0
Excellent Stay;9.0
Another great stay!;8.0
Luxurious Fleet Street Haven;9.0
More then happy;10
Great hotel;8.0
Very nice hotel will be stay here again;10
Excellent, so good to see so many happy faces again. From the staff to every one out enjoying themse;10
Great experience!;10
A Hidden Gem!!;10
A Pleasant Stay;8.0
Fab hotel in the heart of legal London;9.0
Very good;8.0
very pleasant, enjoyed it so much we stayed an extra night!;10
Excellent, staff were very polite and helpful and free upgrades where possible due to space in rooms;10
Excellent;10
Excellent and very clean;10
Exceptional;10
Great stay;10
Peace and quiet in central London;8.0
Well valued, nice location and helpful staff. The breakfast was exquisite!;9.0
Superb;9.0
Miss;9.0
Exceptional;10
Exceptional;10
Excellent hotel;10
Exceptional;10
Stylish comfort in a great location;10
Exceptional;10
Wonderful stay but staff need to implement a more service driven service;8.0
Superb;10
Lovely stay;9.0
Superb;9.0
Exceptional;10
Superb;9.0
Fantastic;10
Fantastic hotel;10
We were really impressed with this hotel and it exceed our expectations.;8.0
Superb;9.0
One of the best;10
Amazing;10
Very good;8.0
Exceptional;10
Very good;8.0
Great thanks;10
Great hotel for a weekend away;9.0
Very good;8.0
Nice tucked away hotel!;8.0
One night stay;8.0
Superb;9.0
Very clean hotel and a great birthday treat;8.0
Exceptional;10
Exceptional;10
Would definitely recommend;10
Superb;9.0
Superb;9.0
Exceptional;10
Exceptional;9.6
Superb;9.0
Exceptional;10
Fantastic;9.0
Amazing stay;10
Exceptional;10
Apex;9.6
A wonderful stay in the London City;10
Very good;8.0
Very comfortable and well located hotel.;9.0
Amazing;10
A hidden gem!;10
Good location in the City;10
Clean, comfortable, lovely staff, great location;9.0
Amazing stat;10
Brilliant stay;9.0
Incredible;10
Great little hotel;8.0
Exceptional;9.6
Exceptional;10
Just petfect;10
Exceptional;10
Luxury hotel in a great location.;10
Fantastic !;10
Exceptional;10
Fantastic classy hotel;10
Excellent London base;10
Very good;8.0
Very good;8.0
Lovely staff gorgeous hotel amazing service 10/10 cannot wait to visit again!;10
Exceptional;10
Really nice night away;10
Exceptional;10
Brilliant, can't wait to return;10
Exceptional;10
Superb;9.0
Superb;9.0
All round amazing. Deffinatly stay there again.;10
Perfect;9.0
Perfect;10
Beautiful location and immaculately clean hotel;9.0
Exceptional;10
Very good;8.0
Great!;10
Exceptional;10
Amazing hotel, amazing staff;9.0
Great place to stay tucked away off main road.;10
Exceptional;10
Superb;9.0
Very good;8.0
Laughed at my expense;10
A very enjoyable stay.;9.0
Very good;8.0
Lovely stay;10
Very good;8.0
Great hotel;10
Very good;8.0
I was certainly made to feel comfortable here and would visit again. Fantastic value for money.;9.0
Great stay, love to come back.;9.0
They were absolutely great;10
Superb;9.0
Exceptional;10
London is a perfect place to visit at the moment whilst the many foreign tourists stay away.;9.0
Superb;9.0
Exceptional;10
Fantastic hotel great staff and a super deal;9.0
Great stay in a very nice hotel;10
Very good;8.3
Superb;9.0
Hidden gem in the city!;9.0
Superb;9.0
Superb;9.0
Exceptional;10
FANTASTIC;9.0
Exceptional;10
Exceptional;10
Perfect weekend break.;10
Highly rates;10
Fabulous!;10
Amazing service;10
We both had a really good time and I would stay again.;8.0
Superb;9.0
Thankyou;8.0
Fantastic value for money;10
A perfect weekend!;9.0
Exceptional;10
Fantastic stay, would definitely stay again :);10
Would recommend.nice hotel in central area.;9.0
Lovely stay;10
Great price, great location;10
Very positive;9.0
Exceptional;10
A lovely complimentary upgrade was fab;10
Lovely hotel;9.0
Fantastic hotel in a central local;10
This Hotel is a hidden gem!;9.0
Very good;8.0
Very relaxing;8.0
An oasis of calm in a busy city.;9.0
Superb;9.0
Very good;8.0
Excellent.;10
Superb;9.0
Excellent location, close to Blackfriars tube station;8.0
Lovely city break in London;9.0
Superb;9.0
Very good;8.0
Exceptional;10
Superb;9.0
Great stay;9.0
Lovely stay;10
Weekend away in the city;10
Superb;9.0
Exceptional;10
Third time I have stayed perfect hotel.;9.0
Superb;9.0
Exceptional;10
Superb;9.0
Great staff. Good price. Location very good.;9.0
Superb;9.0
Romantic get away;10
The staff were so accommodating and the room was really lovely;10
Exceptional;10
Great City Break!;9.0
Great stay!;10
Amazing;8.0
Excellent.;9.0
Lovely;10
Great hotel and location;10
Exceptional;10
Very good;8.0
Amazing stay!;9.0
Good location and comfy room;8.0
Superb;9.0
Enjoyable stay! Would stay at the hotel again;9.0
Perfect;10
Exceptional;10
Exceptional;10
Exceptional;10
Good hotel very close to the West end abd South Bank with many transport option;9.0
Superb;9.0
Impressed !;10
We stayed here for 2 nights and we were treated so well by staff, definitely recommending to friends and family thank yo;10
Exceptional;10
Lovely comfortable stay in a fantastic location. Will stay again;8.0
Enjoyed every second;10
i will do it again.;9.0
City break;10
Superb;9.0
Exceptional;10
Brilliant!;9.0
Brilliant;10
Exceptional;10
Exceptional;10
Exceptional;10
Superb;9.0
Exceptional;10
Exceptional;10
Best hotel in London;10
Plush and Friendly;10
Very nice hotel in good location;8.0
Lovely central hotel;9.0
Excellent value for money and nothing was to much for the polite and very friendly staff.;10
Superb;9.0
Exceptional;10
??;10
Outstanding hotel;10
Could not fault our stay will definitely revisit;10
Very good;8.0
Exceptional;10
Exceptional;10
Excellent high quality hotel in a great central location.;10
Excellent hotel in a central location.;10
Excellent;10
Very good;8.0
Super hotel;10
Awesome stay;10
Lovely stay in the heart of London!;8.0
Very good value, excellent friendly staff;10
Exceptional;10
Exceptional;10
A lovely stay will be going back;10
Really good luxury hotel - amazing location - and affordable price;9.0
Birthday trip;10
"Very enjoyable; great that the other members of my party where in the room next door. Bed very comfo";8.0
A gem in the City of London;10
Good location. Not friendly staff;8.0
Gorgeous room, amazing beds & lovely location! Really nice and quiet. Very impressed.;10
Great hotel in Central London;9.0
Great hotel and quiet;10
Exceptional;10
Cozy room designs, clean and great for a few nights.;10
Exceptional;10
Exceptional;10
Our stay was very enjoyable. Lovely hotel great location;8.0
A quiet night in the centre of London.;9.0
Overall very good and good quality room as expected.;8.0
Absolutely smashing!;10
Superb;9.0
Exceptional;10
Brilliant and ticked all the boxes we needed;10
Clean, relaxing stay;9.0
Superb;9.0
Exceptional;10
Exceptional;10
Exceptional;10
We’ve stayed here before. It’s a lovely place to stay and amazing location;10
Exceptional;10
Exceptional;10
Lovely hotel but disappointing customer service when needed;8.0
Superb;9.0
Weekend break;8.0
Exceptional;10
Very good and pleasant.;8.0
Great value in a central location!;9.0
Lovely, and pleasant. However the bathroom was a disable one, do check in with the hotel staff.;8.0
Comfiest beds! A lovely stay;9.0
Great for a night stay.;9.0
Lovely stay, we loved the room, my daughter struggled to get out of bed as she was too comfy!;8.0
Always a reliable choice;8.0
Fantastic hotel with fantastic facilities in an amazing location;10
Small but beautiful hotel with fabulous service.;9.0
Lovely base for a short break in London;10
Amazing Hotel;10
Exceptional;10
London trip in time of Covid;10
Nice room but noisy;8.0
Excellent hotel.;10
Exceptional;10
Good hotel.. get some vegan options for breakfast!;8.0
Superb;9.0
The stay was comfortable and safe;9.0
Superb;9.0
Exceptional;10
Very good;8.0
Lovely Stay;9.0
Excellent!;10
Really enjoyable;8.0
Clean and comfy stay. Would definitely return!;10
Very pleased with experience despite Covid;10
Overall a comfortable stay.;8.0
Recommended;9.0
Superb;9.0
Good location;9.0
Superb;9.0
Exceptional;10
Excellent would recommend;10
Superb;9.0
perfect hotel in a perfect location;10
Excellent hotel;10
Superb;9.0
Exceptional;10
Exceptional;10
Very good;8.0
Lovely room in an ideal location;10
Exceptional;9.6
Exceptional;10
great;9.0
Very good;8.0
Perfect hotel, great location;10
Nice, clean and good value hotel with lovely staff;10
Very good;8.0
Superb;9.0
Lovely;8.0
Exceptional;10
A fantastic week away;10
Superb;9.0
Exceptional;10
Amazing hotel very comfy and would stay again;10
Fantastic stay, Clean and excellent customer service.;10
Very clean and tidy outside and in. Nice court yard. Quiet for a city hotel. All round very good;8.0
Just what I needed!;10
The perfect getaway;10
Exceptional;10
Exceptional;10
Great hotel, great location, we enjoyed our stay.;10
Excellent. Fantastic Hotel. Great Staff.;10
Very good;8.0
Overall a lovely hotel with some nice quirks.;8.0
Excellent hotel;10
Superb;9.0
